eventID,occurrenceID,eventDate,scientificName,scientificNameID,verbatimIdentification,occurrenceStatus,basisOfRecord,individualCount,associatedTaxa,occurrenceRemarks,taxonRank,kingdom,phylum,class,order,family,genus
MC885_20140501_AT26144705047B,AT26-14-4705-047B_2,2014-05-01,Maldanidae,"urn:lsid:marinespecies.org:taxname:923, urn:lsid:itis.gov:itis_tsn: 67515",Maldanidae,present,HumanObservation,1,livesNear: Octocoral,within 1 meter of Octocoral,Family,Animalia,Annelida,Polychaeta,NA,Maldanidae,NA
MC885_20140501_AT26144705047B,AT26-14-4705-047B_3,2014-05-01,Opheliidae,"urn:lsid:marinespecies.org:taxname:924, urn:lsid:itis.gov:itis_tsn: 67342",Opheliidae,present,HumanObservation,1,livesNear: Octocoral,within 1 meter of Octocoral,Family,Animalia,Annelida,Polychaeta,NA,Opheliidae,NA
MC885_20140501_AT26144705047B,AT26-14-4705-047B_4,2014-05-01,Ophiuroidea,"urn:lsid:marinespecies.org:taxname:123084, urn:lsid:itis.gov:itis_tsn: 157325",Ophiuroidea,present,HumanObservation,1,livesNear: Octocoral,within 1 meter of Octocoral,Class,Animalia,Echinodermata,Ophiuroidea,NA,NA,NA
MC885_20140501_AT26144705047B,AT26-14-4705-047B_5,2014-05-01,Siboglinidae,"urn:lsid:marinespecies.org:taxname:129096, urn:lsid:itis.gov:itis_tsn: 154462",Siboglinidae,present,HumanObservation,1,livesNear: Octocoral,within 1 meter of Octocoral,Family,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,NA
MC885_20140501_AT26144705047C,AT26-14-4705-047C_1,2014-05-01,Capitellidae,"urn:lsid:marinespecies.org:taxname:921, urn:lsid:itis.gov:itis_tsn: 67413",Capitellidae,present,HumanObservation,1,livesNear: Octocoral,within 1 meter of Octocoral,Family,Animalia,Annelida,Polychaeta,NA,Capitellidae,NA
MC885_20140501_AT26144705047C,AT26-14-4705-047C_2,2014-05-01,Gastropoda,"urn:lsid:marinespecies.org:taxname:101, urn:lsid:itis.gov:itis_tsn: 69459",Gastropoda,present,HumanObservation,1,livesNear: Octocoral,within 1 meter of Octocoral,Class,Animalia,Mollusca,Gastropoda,NA,NA,NA
MC885_20140501_AT26144705047C,AT26-14-4705-047C_3,2014-05-01,Longosomatidae,"urn:lsid:marinespecies.org:taxname:22608, urn:lsid:itis.gov:itis_tsn: 555676",Longosomatidae,present,HumanObservation,1,livesNear: Octocoral,within 1 meter of Octocoral,Family,Animalia,Annelida,Polychaeta,Terebellida,Longosomatidae,NA
MC885_20140501_AT26144705047C,AT26-14-4705-047C_4,2014-05-01,Phoxocephalidae,"urn:lsid:marinespecies.org:taxname:101403, urn:lsid:itis.gov:itis_tsn: 94633",Phoxocephalidae,present,HumanObservation,1,livesNear: Octocoral,within 1 meter of Octocoral,Family,Animalia,Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,NA
AT357_20140504_AT26144706058A,AT26-14-4706-058A_1,2014-05-04,Capitellidae,"urn:lsid:marinespecies.org:taxname:921, urn:lsid:itis.gov:itis_tsn: 67413",Capitellidae,present,HumanObservation,2,livesNear: Octocoral,within 1 meter of Octocoral,Family,Animalia,Annelida,Polychaeta,NA,Capitellidae,NA
AT357_20140504_AT26144706058A,AT26-14-4706-058A_2,2014-05-04,Cirratulidae,"urn:lsid:marinespecies.org:taxname:919, urn:lsid:itis.gov:itis_tsn: 67116",Cirratulidae,present,HumanObservation,1,livesNear: Octocoral,within 1 meter of Octocoral,Family,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,NA
AT357_20140504_AT26144706058A,AT26-14-4706-058A_3,2014-05-04,Dorvilleidae,"urn:lsid:marinespecies.org:taxname:971, urn:lsid:itis.gov:itis_tsn: 66478",Dorvilleidae,present,HumanObservation,3,livesNear: Octocoral,within 1 meter of Octocoral,Family,Animalia,Annelida,Polychaeta,Eunicida,Dorvilleidae,NA
AT357_20140504_AT26144706058A,AT26-14-4706-058A_4,2014-05-04,Naididae,"urn:lsid:marinespecies.org:taxname:2039, urn:lsid:itis.gov:itis_tsn: 68854",Naididae,present,HumanObservation,4,livesNear: Octocoral,within 1 meter of Octocoral,Family,Animalia,Annelida,Clitellata,Tubificida,Naididae,NA
AT357_20140504_AT26144706058A,AT26-14-4706-058A_5,2014-05-04,Nephtyidae,"urn:lsid:marinespecies.org:taxname:956, urn:lsid:itis.gov:itis_tsn: 66010",Nephtyidae,present,HumanObservation,2,livesNear: Octocoral,within 1 meter of Octocoral,Family,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,NA
AT357_20140504_AT26144706058A,AT26-14-4706-058A_6,2014-05-04,Oedicerotidae,"urn:lsid:marinespecies.org:taxname:101400, urn:lsid:itis.gov:itis_tsn: 94489",Oedicerotidae,present,HumanObservation,1,livesNear: Octocoral,within 1 meter of Octocoral,Family,Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,NA
AT357_20140504_AT26144706058A,AT26-14-4706-058A_7,2014-05-04,Paraonidae,"urn:lsid:marinespecies.org:taxname:903, urn:lsid:itis.gov:itis_tsn: 66659",Paraonidae,present,HumanObservation,1,livesNear: Octocoral,within 1 meter of Octocoral,Family,Animalia,Annelida,Polychaeta,NA,Paraonidae,NA
AT357_20140504_AT26144706058A,AT26-14-4706-058A_8,2014-05-04,Prochaetodermatidae,"urn:lsid:marinespecies.org:taxname:23102, urn:lsid:itis.gov:itis_tsn: 79104",Prochaetodermatidae,present,HumanObservation,5,livesNear: Octocoral,within 1 meter of Octocoral,Family,Animalia,Mollusca,Caudofoveata,Chaetodermatida,Prochaetodermatidae,NA
AT357_20140504_AT26144706058A,AT26-14-4706-058A_9,2014-05-04,Sigalionidae,"urn:lsid:marinespecies.org:taxname:943, urn:lsid:itis.gov:itis_tsn: 65072",Sigalionidae,present,HumanObservation,1,livesNear: Octocoral,within 1 meter of Octocoral,Family,Animalia,Annelida,Polychaeta,Phyllodocida,Sigalionidae,NA
AT357_20140504_AT26144706058A,AT26-14-4706-058A_10,2014-05-04,Trichobranchidae,"urn:lsid:marinespecies.org:taxname:983, urn:lsid:itis.gov:itis_tsn: 68067",Trichobranchidae,present,HumanObservation,1,livesNear: Octocoral,within 1 meter of Octocoral,Family,Animalia,Annelida,Polychaeta,Terebellida,Trichobranchidae,NA
AT357_20140504_AT26144706058B,AT26-14-4706-058B_1,2014-05-04,Capitellidae,"urn:lsid:marinespecies.org:taxname:921, urn:lsid:itis.gov:itis_tsn: 67413",Capitellidae,present,HumanObservation,2,livesNear: Octocoral,within 1 meter of Octocoral,Family,Animalia,Annelida,Polychaeta,NA,Capitellidae,NA
AT357_20140504_AT26144706058B,AT26-14-4706-058B_2,2014-05-04,Hydrozoa,"urn:lsid:marinespecies.org:taxname:1337, urn:lsid:itis.gov:itis_tsn: 48739",Hydrozoa,present,HumanObservation,1,livesNear: Octocoral,within 1 meter of Octocoral,Class,Animalia,Cnidaria,Hydrozoa,NA,NA,NA
AT357_20140504_AT26144706058B,AT26-14-4706-058B_3,2014-05-04,Longosomatidae,"urn:lsid:marinespecies.org:taxname:22608, urn:lsid:itis.gov:itis_tsn: 555676",Longosomatidae,present,HumanObservation,1,livesNear: Octocoral,within 1 meter of Octocoral,Family,Animalia,Annelida,Polychaeta,Terebellida,Longosomatidae,NA
AT357_20140504_AT26144706058B,AT26-14-4706-058B_4,2014-05-04,Naididae,"urn:lsid:marinespecies.org:taxname:2039, urn:lsid:itis.gov:itis_tsn: 68854",Naididae,present,HumanObservation,5,livesNear: Octocoral,within 1 meter of Octocoral,Family,Animalia,Annelida,Clitellata,Tubificida,Naididae,NA
AT357_20140504_AT26144706058C,AT26-14-4706-058C_1,2014-05-04,Naididae,"urn:lsid:marinespecies.org:taxname:2039, urn:lsid:itis.gov:itis_tsn: 68854",Naididae,present,HumanObservation,1,livesNear: Octocoral,within 1 meter of Octocoral,Family,Animalia,Annelida,Clitellata,Tubificida,Naididae,NA
AT357_20140504_AT26144706059A,AT26-14-4706-059A_1,2014-05-04,Chaetodermatidae,"urn:lsid:marinespecies.org:taxname:2089, urn:lsid:itis.gov:itis_tsn: 79079",Chaetodermatidae,present,HumanObservation,1,livesNear: Octocoral,within 1 meter of Octocoral,Family,Animalia,Mollusca,Caudofoveata,Chaetodermatida,Chaetodermatidae,NA
AT357_20140504_AT26144706059A,AT26-14-4706-059A_2,2014-05-04,Macrostylidae,"urn:lsid:marinespecies.org:taxname:118261, urn:lsid:itis.gov:itis_tsn: 92890",Macrostylidae,present,HumanObservation,1,livesNear: Octocoral,within 1 meter of Octocoral,Family,Animalia,Arthropoda,Malacostraca,Isopoda,Macrostylidae,NA
AT357_20140504_AT26144706059A,AT26-14-4706-059A_3,2014-05-04,Maldanidae,"urn:lsid:marinespecies.org:taxname:923, urn:lsid:itis.gov:itis_tsn: 67515",Maldanidae,present,HumanObservation,1,livesNear: Octocoral,within 1 meter of Octocoral,Family,Animalia,Annelida,Polychaeta,NA,Maldanidae,NA
AT357_20140504_AT26144706059A,AT26-14-4706-059A_4,2014-05-04,Paraonidae,"urn:lsid:marinespecies.org:taxname:903, urn:lsid:itis.gov:itis_tsn: 66659",Paraonidae,present,HumanObservation,1,livesNear: Octocoral,within 1 meter of Octocoral,Family,Animalia,Annelida,Polychaeta,NA,Paraonidae,NA
AT357_20140504_AT26144706059A,AT26-14-4706-059A_5,2014-05-04,Trichobranchidae,"urn:lsid:marinespecies.org:taxname:983, urn:lsid:itis.gov:itis_tsn: 68067",Trichobranchidae,present,HumanObservation,1,livesNear: Octocoral,within 1 meter of Octocoral,Family,Animalia,Annelida,Polychaeta,Terebellida,Trichobranchidae,NA
AT357_20140504_AT26144706059B,AT26-14-4706-059B_1,2014-05-04,Oweniidae,"urn:lsid:marinespecies.org:taxname:975, urn:lsid:itis.gov:itis_tsn: 67644",Oweniidae,present,HumanObservation,1,livesNear: Octocoral,within 1 meter of Octocoral,Family,Animalia,Annelida,Polychaeta,NA,Oweniidae,NA
AT357_20140504_AT26144706059B,AT26-14-4706-059B_2,2014-05-04,Paraonidae,"urn:lsid:marinespecies.org:taxname:903, urn:lsid:itis.gov:itis_tsn: 66659",Paraonidae,present,HumanObservation,1,livesNear: Octocoral,within 1 meter of Octocoral,Family,Animalia,Annelida,Polychaeta,NA,Paraonidae,NA
AT357_20140504_AT26144706059C,AT26-14-4706-059C_1,2014-05-04,NA,"NA, urn:lsid:itis.gov:itis_tsn: NA",No individuals,absent,HumanObservation,0,livesNear: Octocoral,within 1 meter of Octocoral,NA,NA,NA,NA,NA,NA,NA
MC885_20101016_LII10GOM4007,LII-10-GOM-4007_1,2010-10-16,Aberrantidae,"urn:lsid:marinespecies.org:taxname:233984, urn:lsid:itis.gov:itis_tsn: 555684",Aberrantidae,present,HumanObservation,1,livesNear: Madrepora,within 1 meter of Madrepora,Family,Animalia,Annelida,Polychaeta,NA,Aberrantidae,NA
MC885_20101016_LII10GOM4007,LII-10-GOM-4007_2,2010-10-16,Cirratulidae,"urn:lsid:marinespecies.org:taxname:919, urn:lsid:itis.gov:itis_tsn: 67116",Cirratulidae,present,HumanObservation,1,livesNear: Madrepora,within 1 meter of Madrepora,Family,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,NA
MC885_20101016_LII10GOM4007,LII-10-GOM-4007_3,2010-10-16,Colletteidae,"urn:lsid:marinespecies.org:taxname:237595, urn:lsid:itis.gov:itis_tsn: 621525",Colletteidae,present,HumanObservation,1,livesNear: Madrepora,within 1 meter of Madrepora,Family,Animalia,Arthropoda,Malacostraca,Tanaidacea,Colletteidae,NA
MC885_20101016_LII10GOM4007,LII-10-GOM-4007_4,2010-10-16,Hydrozoa,"urn:lsid:marinespecies.org:taxname:1337, urn:lsid:itis.gov:itis_tsn: 48739",Hydrozoa,present,HumanObservation,1,livesNear: Madrepora,within 1 meter of Madrepora,Class,Animalia,Cnidaria,Hydrozoa,NA,NA,NA
MC885_20101016_LII10GOM4007,LII-10-GOM-4007_5,2010-10-16,Opheliidae,"urn:lsid:marinespecies.org:taxname:924, urn:lsid:itis.gov:itis_tsn: 67342",Opheliidae,present,HumanObservation,2,livesNear: Madrepora,within 1 meter of Madrepora,Family,Animalia,Annelida,Polychaeta,NA,Opheliidae,NA
