eventID,eventDate,materialEntityID,locationID,decimalLatitude,decimalLongitude,higherGeography,locality,geodeticDatum,minimumDepthInMeters,maximumDepthInMeters,samplingProtocol,locationRemarks,parentEventID,minimumDistanceAboveSurfaceInMeters,maximumDistancesAboveSurfaceInMeters
AT357_20130627_NA028085PC1,2013-06-27,NA028-085-PC1,NA028-H1264,27.58672,-89.70464,Gulf of Mexico | BOEM Lease Block AT357,BOEM Lease Block AT357,WGS84,1049,1049,Push core,Near coral,NA,NA,NA
AT357_20130627_NA028086PC2,2013-06-27,NA028-086-PC2,NA028-H1264,27.58672,-89.70464,Gulf of Mexico | BOEM Lease Block AT357,BOEM Lease Block AT357,WGS84,1049,1049,Push core,Near coral,NA,NA,NA
AT357_20130629_NA028105PC1,2013-06-29,NA028-105-PC1,NA028-H1266,27.58573,-89.70502,Gulf of Mexico | BOEM Lease Block AT357,BOEM Lease Block AT357,WGS84,1054,1054,Push core,Near coral,NA,NA,NA
AT357_20130629_NA028106PC2,2013-06-29,NA028-106-PC2,NA028-H1266,27.58573,-89.70502,Gulf of Mexico | BOEM Lease Block AT357,BOEM Lease Block AT357,WGS84,1054,1054,Push core,Near coral,NA,NA,NA
AT357_20130629_NA028108PC4,2013-06-29,NA028-108-PC4,NA028-H1266,27.58573,-89.70502,Gulf of Mexico | BOEM Lease Block AT357,BOEM Lease Block AT357,WGS84,1054,1054,Push core,Near coral,NA,NA,NA
MC036_20140627_NA043020,2014-06-27,NA043-020,NA043-H1335,28.93535,-88.20269,Gulf of Mexico | BOEM Lease Block MC036,BOEM Lease Block MC036,WGS84,1094,1094,Push core,Near coral,NA,NA,NA
MC036_20140627_NA043021,2014-06-27,NA043-021,NA043-H1335,28.93535,-88.20269,Gulf of Mexico | BOEM Lease Block MC036,BOEM Lease Block MC036,WGS84,1094,1094,Push core,Near coral,NA,NA,NA
MC036_20140627_NA043022,2014-06-27,NA043-022,NA043-H1335,28.93535,-88.20269,Gulf of Mexico | BOEM Lease Block MC036,BOEM Lease Block MC036,WGS84,1094,1094,Push core,Near coral,NA,NA,NA
MC036_20140627_NA043024,2014-06-27,NA043-024,NA043-H1335,28.93535,-88.20269,Gulf of Mexico | BOEM Lease Block MC036,BOEM Lease Block MC036,WGS84,1094,1094,Push core,Near coral,NA,NA,NA
AT47_20090824_RB13D457PC03,2009-08-24,RB13-D457-PC03,RB-2009-GOM-457,27.88022,-89.78881,Gulf of Mexico | BOEM Lease Block AT47,BOEM Lease Block AT47,WGS84,840,840,Push core,Near coral,NA,NA,NA
AT47_20090824_RB13D457PC04,2009-08-24,RB13-D457-PC04,RB-2009-GOM-457,27.88022,-89.78881,Gulf of Mexico | BOEM Lease Block AT47,BOEM Lease Block AT47,WGS84,840,840,Push core,Near coral,NA,NA,NA
AT47_20090824_RB13D457PC05,2009-08-24,RB13-D457-PC05,RB-2009-GOM-457,27.88022,-89.78881,Gulf of Mexico | BOEM Lease Block AT47,BOEM Lease Block AT47,WGS84,840,840,Push core,Near coral,NA,NA,NA
AT47_20090824_RB13D457PC06,2009-08-24,RB13-D457-PC06,RB-2009-GOM-457,27.8898,-89.79443,Gulf of Mexico | BOEM Lease Block AT47,BOEM Lease Block AT47,WGS84,837,837,Push core,Background coral,NA,NA,NA
AT47_20090824_RB13D457PC09,2009-08-24,RB13-D457-PC09,RB-2009-GOM-457,27.8898,-89.79443,Gulf of Mexico | BOEM Lease Block AT47,BOEM Lease Block AT47,WGS84,837,837,Push core,Background coral,NA,NA,NA
AT47_20090824_RB13D457PC10,2009-08-24,RB13-D457-PC10,RB-2009-GOM-457,27.8898,-89.79443,Gulf of Mexico | BOEM Lease Block AT47,BOEM Lease Block AT47,WGS84,837,837,Push core,Background coral,NA,NA,NA
GB299_20090826_RB13D459PC01,2009-08-26,RB13-D459-PC01,RB-2009-GOM-459,27.68629,-92.23075,Gulf of Mexico | BOEM Lease Block GB299,BOEM Lease Block GB299,WGS84,359,359,Push core,Near coral,NA,NA,NA
GB299_20090826_RB13D459PC02,2009-08-26,RB13-D459-PC02,RB-2009-GOM-459,27.68619,-92.23089,Gulf of Mexico | BOEM Lease Block GB299,BOEM Lease Block GB299,WGS84,355,355,Push core,Background coral,NA,NA,NA
GB299_20090826_RB13D459PC03,2009-08-26,RB13-D459-PC03,RB-2009-GOM-459,27.68619,-92.23089,Gulf of Mexico | BOEM Lease Block GB299,BOEM Lease Block GB299,WGS84,355,355,Push core,Background coral,NA,NA,NA
GB299_20090826_RB13D459PC04,2009-08-26,RB13-D459-PC04,RB-2009-GOM-459,27.68629,-92.23075,Gulf of Mexico | BOEM Lease Block GB299,BOEM Lease Block GB299,WGS84,359,359,Push core,Near coral,NA,NA,NA
GB299_20090826_RB13D459PC05,2009-08-26,RB13-D459-PC05,RB-2009-GOM-459,27.68619,-92.23089,Gulf of Mexico | BOEM Lease Block GB299,BOEM Lease Block GB299,WGS84,355,355,Push core,Background coral,NA,NA,NA
GB299_20090826_RB13D459PC06,2009-08-26,RB13-D459-PC06,RB-2009-GOM-459,27.68629,-92.23075,Gulf of Mexico | BOEM Lease Block GB299,BOEM Lease Block GB299,WGS84,359,359,Push core,Near coral,NA,NA,NA
GB299_20090826_RB13D459PC07,2009-08-26,RB13-D459-PC07,RB-2009-GOM-459,27.68629,-92.23075,Gulf of Mexico | BOEM Lease Block GB299,BOEM Lease Block GB299,WGS84,359,359,Push core,Near coral,NA,NA,NA
GB299_20090826_RB13D459PC08,2009-08-26,RB13-D459-PC08,RB-2009-GOM-459,27.68629,-92.23075,Gulf of Mexico | BOEM Lease Block GB299,BOEM Lease Block GB299,WGS84,359,359,Push core,Near coral,NA,NA,NA
GB299_20090826_RB13D459PC09,2009-08-26,RB13-D459-PC09,RB-2009-GOM-459,27.68619,-92.23089,Gulf of Mexico | BOEM Lease Block GB299,BOEM Lease Block GB299,WGS84,355,355,Push core,Background coral,NA,NA,NA
GB299_20090826_RB13D459PC10,2009-08-26,RB13-D459-PC10,RB-2009-GOM-459,27.68619,-92.23089,Gulf of Mexico | BOEM Lease Block GB299,BOEM Lease Block GB299,WGS84,355,355,Push core,Background coral,NA,NA,NA
MC751_20090901_RB13D464PC01,2009-09-01,RB13-D464-PC01,RB-2009-GOM-464,28.19367,-89.79883,Gulf of Mexico | BOEM Lease Block MC751,BOEM Lease Block MC751,WGS84,440,440,Push core,Near coral,NA,NA,NA
MC751_20090901_RB13D464PC02,2009-09-01,RB13-D464-PC02,RB-2009-GOM-464,28.19367,-89.79883,Gulf of Mexico | BOEM Lease Block MC751,BOEM Lease Block MC751,WGS84,440,440,Push core,Near coral,NA,NA,NA
MC751_20090901_RB13D464PC05,2009-09-01,RB13-D464-PC05,RB-2009-GOM-464,28.19367,-89.79883,Gulf of Mexico | BOEM Lease Block MC751,BOEM Lease Block MC751,WGS84,440,440,Push core,Near coral,NA,NA,NA
MC751_20090901_RB13D464PC08,2009-09-01,RB13-D464-PC08,RB-2009-GOM-464,28.19871,-89.80104,Gulf of Mexico | BOEM Lease Block MC751,BOEM Lease Block MC751,WGS84,431,431,Push core,Background coral,NA,NA,NA
MC751_20090901_RB13D464PC09,2009-09-01,RB13-D464-PC09,RB-2009-GOM-464,28.19871,-89.80104,Gulf of Mexico | BOEM Lease Block MC751,BOEM Lease Block MC751,WGS84,431,431,Push core,Background coral,NA,NA,NA
VK906_20090902_RB13D465PC01,2009-09-02,RB13-D465-PC01,RB-2009-GOM-465,29.06964,-88.3771,Gulf of Mexico | BOEM Lease Block VK906,BOEM Lease Block VK906,WGS84,388,388,Push core,Near coral,NA,NA,NA
VK906_20090902_RB13D465PC02,2009-09-02,RB13-D465-PC02,RB-2009-GOM-465,29.06964,-88.3771,Gulf of Mexico | BOEM Lease Block VK906,BOEM Lease Block VK906,WGS84,388,388,Push core,Near coral,NA,NA,NA
VK906_20090902_RB13D465PC03,2009-09-02,RB13-D465-PC03,RB-2009-GOM-465,29.06964,-88.3771,Gulf of Mexico | BOEM Lease Block VK906,BOEM Lease Block VK906,WGS84,388,388,Push core,Near coral,NA,NA,NA
VK906_20090902_RB13D465PC04,2009-09-02,RB13-D465-PC04,RB-2009-GOM-465,29.06917,-88.37759,Gulf of Mexico | BOEM Lease Block VK906,BOEM Lease Block VK906,WGS84,393,393,Push core,Near coral,NA,NA,NA
VK906_20090902_RB13D465PC05,2009-09-02,RB13-D465-PC05,RB-2009-GOM-465,29.06917,-88.37759,Gulf of Mexico | BOEM Lease Block VK906,BOEM Lease Block VK906,WGS84,393,393,Push core,Near coral,NA,NA,NA
VK906_20090902_RB13D465PC06,2009-09-02,RB13-D465-PC06,RB-2009-GOM-465,29.06725,-88.38017,Gulf of Mexico | BOEM Lease Block VK906,BOEM Lease Block VK906,WGS84,432,432,Push core,Background coral,NA,NA,NA
VK906_20090902_RB13D465PC07,2009-09-02,RB13-D465-PC07,RB-2009-GOM-465,29.06725,-88.38017,Gulf of Mexico | BOEM Lease Block VK906,BOEM Lease Block VK906,WGS84,432,432,Push core,Background coral,NA,NA,NA
VK906_20090902_RB13D465PC08,2009-09-02,RB13-D465-PC08,RB-2009-GOM-465,29.06725,-88.38017,Gulf of Mexico | BOEM Lease Block VK906,BOEM Lease Block VK906,WGS84,432,432,Push core,Background coral,NA,NA,NA
VK906_20090902_RB13D465PC10,2009-09-02,RB13-D465-PC10,RB-2009-GOM-465,29.06917,-88.37759,Gulf of Mexico | BOEM Lease Block VK906,BOEM Lease Block VK906,WGS84,393,393,Push core,Near coral,NA,NA,NA
VK826_20090903_RB13D466PC01,2009-09-03,RB13-D466-PC01,RB-2009-GOM-466,29.15778,-88.01615,Gulf of Mexico | BOEM Lease Block VK826,BOEM Lease Block VK826,WGS84,475,475,Push core,Near coral,NA,NA,NA
VK826_20090903_RB13D466PC02,2009-09-03,RB13-D466-PC02,RB-2009-GOM-466,29.15778,-88.01615,Gulf of Mexico | BOEM Lease Block VK826,BOEM Lease Block VK826,WGS84,475,475,Push core,Near coral,NA,NA,NA
VK826_20090903_RB13D466PC03,2009-09-03,RB13-D466-PC03,RB-2009-GOM-466,29.15778,-88.01615,Gulf of Mexico | BOEM Lease Block VK826,BOEM Lease Block VK826,WGS84,475,475,Push core,Near coral,NA,NA,NA
VK826_20090903_RB13D466PC05,2009-09-03,RB13-D466-PC05,RB-2009-GOM-466,29.15816,-88.01681,Gulf of Mexico | BOEM Lease Block VK826,BOEM Lease Block VK826,WGS84,470,470,Push core,Near coral,NA,NA,NA
VK826_20090903_RB13D466PC06,2009-09-03,RB13-D466-PC06,RB-2009-GOM-466,29.15816,-88.01681,Gulf of Mexico | BOEM Lease Block VK826,BOEM Lease Block VK826,WGS84,470,470,Push core,Near coral,NA,NA,NA
VK826_20090904_RB13D467PC02,2009-09-04,RB13-D467-PC02,RB-2009-GOM-467,29.15871,-88.01038,Gulf of Mexico | BOEM Lease Block VK826,BOEM Lease Block VK826,WGS84,480,480,Push core,Near coral,NA,NA,NA
VK826_20090904_RB13D467PC05,2009-09-04,RB13-D467-PC05,RB-2009-GOM-467,29.15871,-88.01038,Gulf of Mexico | BOEM Lease Block VK826,BOEM Lease Block VK826,WGS84,480,480,Push core,Near coral,NA,NA,NA
VK906_20090910_RB13D473PC01,2009-09-10,RB13-D473-PC01,RB-2009-GOM-473,29.06904,-88.37712,Gulf of Mexico | BOEM Lease Block VK906,BOEM Lease Block VK906,WGS84,392,392,Push core,Near coral,NA,NA,NA
VK906_20090910_RB13D473PC02,2009-09-10,RB13-D473-PC02,RB-2009-GOM-473,29.06904,-88.37712,Gulf of Mexico | BOEM Lease Block VK906,BOEM Lease Block VK906,WGS84,392,392,Push core,Near coral,NA,NA,NA
VK906_20090910_RB13D473PC04,2009-09-10,RB13-D473-PC04,RB-2009-GOM-473,29.06904,-88.37712,Gulf of Mexico | BOEM Lease Block VK906,BOEM Lease Block VK906,WGS84,392,392,Push core,Near coral,NA,NA,NA
VK906_20090918_SJ09GOM3725PC05,2009-09-18,SJ09-GOM-3725-PC05,JSLII-2009-GOM-3725,29.0691,-88.37611,Gulf of Mexico | BOEM Lease Block VK906,BOEM Lease Block VK906,WGS84,393,393,Large push core,Background coral,NA,NA,NA
MC751_20090919_SJ09GOMBC05,2009-09-19,SJ09-GOM-BC05,SJ-2009-GOM-027,28.19688,-89.79876,Gulf of Mexico | BOEM Lease Block MC751,BOEM Lease Block MC751,WGS84,429,429,Box core,Background coral,NA,NA,NA
MC751_20090919_SJ09GOMBC06,2009-09-19,SJ09-GOM-BC06,SJ-2009-GOM-028,28.19675,-89.79985,Gulf of Mexico | BOEM Lease Block MC751,BOEM Lease Block MC751,WGS84,427,427,Box core,Background coral,NA,NA,NA
VK906_20090920_SJ09GOMBC08,2009-09-20,SJ09-GOM-BC08,SJ-2009-GOM-033,29.0727,-88.37808,Gulf of Mexico | BOEM Lease Block VK906,BOEM Lease Block VK906,WGS84,418,418,Box core,Background coral,NA,NA,NA
VK826_20090922_SJ09GOMBC12,2009-09-22,SJ09-GOM-BC12,SJ-2009-GOM-062,29.17011,-88.0133,Gulf of Mexico | BOEM Lease Block VK826,BOEM Lease Block VK826,WGS84,470,470,Box core,Background coral,NA,NA,NA
VK826_20090922_SJ09GOMBC13,2009-09-22,SJ09-GOM-BC13,SJ-2009-GOM-063,29.17068,-88.01233,Gulf of Mexico | BOEM Lease Block VK826,BOEM Lease Block VK826,WGS84,461,461,Box core,Background coral,NA,NA,NA
VK826_20090923_SJ09GOMBC14,2009-09-23,SJ09-GOM-BC14,SJ-2009-GOM-072,29.16771,-88.01315,Gulf of Mexico | BOEM Lease Block VK826,BOEM Lease Block VK826,WGS84,472,472,Box core,Background coral,NA,NA,NA
VK826_20090923_SJ09GOMBC16,2009-09-23,SJ09-GOM-BC16,SJ-2009-GOM-074,29.17076,-88.01133,Gulf of Mexico | BOEM Lease Block VK826,BOEM Lease Block VK826,WGS84,458,458,Box core,Background coral,NA,NA,NA
MC885_20101016_RB10D527PC03,2010-10-16,RB10-D527-PC03,NA,28.6637,-89.7171,Gulf of Mexico | BOEM Lease Block MC885,BOEM Lease Block MC885,WGS84,633,633,NA,NA coral,NA,NA,NA
GC249_20101023_RB10D533PC01,2010-10-23,RB10-D533-PC01,NA,27.7241,-90.5142,Gulf of Mexico | BOEM Lease Block GC249,BOEM Lease Block GC249,WGS84,810,810,NA,NA coral,NA,NA,NA
MC118_20130625_NA028047PC4,2013-06-25,NA028-047-PC4,NA,28.85278,-88.49273,Gulf of Mexico | BOEM Lease Block MC118,BOEM Lease Block MC118,WGS84,884,884,NA,NA coral,NA,NA,NA
MC118_20130625_NA028052PC6,2013-06-25,NA028-052-PC6,NA,28.85268,-88.49252,Gulf of Mexico | BOEM Lease Block MC118,BOEM Lease Block MC118,WGS84,885,885,NA,NA coral,NA,NA,NA
AT357_20130627_NA028087PC3,2013-06-27,NA028-087-PC3,NA,27.58672,-89.70464,Gulf of Mexico | BOEM Lease Block AT357,BOEM Lease Block AT357,WGS84,1049,1049,NA,NA coral,NA,NA,NA
AT357_20130629_NA028107PC3,2013-06-29,NA028-107-PC3,NA,27.58573,-89.70502,Gulf of Mexico | BOEM Lease Block AT357,BOEM Lease Block AT357,WGS84,1054,1054,NA,NA coral,NA,NA,NA
MC885_20140501_AT26144705044,2014-05-01,AT26-14-4705-044,NA,28.06614,-89.71717,Gulf of Mexico | BOEM Lease Block MC885,BOEM Lease Block MC885,WGS84,634,634,NA,NA coral,NA,NA,NA
MC885_20140501_AT26144705045,2014-05-01,AT26-14-4705-045,NA,28.06614,-89.71729,Gulf of Mexico | BOEM Lease Block MC885,BOEM Lease Block MC885,WGS84,635,635,NA,NA coral,NA,NA,NA
AT357_20140504_AT26144706053,2014-05-04,AT26-14-4706-053,NA,27.58644,-89.70441,Gulf of Mexico | BOEM Lease Block AT357,BOEM Lease Block AT357,WGS84,1050,1050,NA,NA coral,NA,NA,NA
AT357_20140504_AT26144706054,2014-05-04,AT26-14-4706-054,NA,27.58611,-89.70435,Gulf of Mexico | BOEM Lease Block AT357,BOEM Lease Block AT357,WGS84,1054,1054,NA,NA coral,NA,NA,NA
MC036_20140627_NA043023,2014-06-27,NA043-023,NA,28.9354,-88.2027,Gulf of Mexico | BOEM Lease Block MC036,BOEM Lease Block MC036,WGS84,1094,1094,NA,NA coral,NA,NA,NA
MC885_20140501_AT26144705046A,2014-05-01,AT26-14-4705-046A,AT26-14-4705,28.06614,-89.71717,Gulf of Mexico | BOEM Lease Block MC885,BOEM Lease Block MC885,WGS84,634,634,Push core,Near coral,MC885_20140501_AT26144705046,-0,-0.02
MC885_20140501_AT26144705046B,2014-05-01,AT26-14-4705-046B,AT26-14-4705,28.06614,-89.71717,Gulf of Mexico | BOEM Lease Block MC885,BOEM Lease Block MC885,WGS84,634,634,Push core,Near coral,MC885_20140501_AT26144705046,-0.02,-0.05
MC885_20140501_AT26144705046C,2014-05-01,AT26-14-4705-046C,AT26-14-4705,28.06614,-89.71717,Gulf of Mexico | BOEM Lease Block MC885,BOEM Lease Block MC885,WGS84,634,634,Push core,Near coral,MC885_20140501_AT26144705046,-0.05,-0.1
MC885_20140501_AT26144705047A,2014-05-01,AT26-14-4705-047A,AT26-14-4705,28.06614,-89.71729,Gulf of Mexico | BOEM Lease Block MC885,BOEM Lease Block MC885,WGS84,635,635,Push core,Near coral,MC885_20140501_AT26144705047,-0,-0.02
MC885_20140501_AT26144705047B,2014-05-01,AT26-14-4705-047B,AT26-14-4705,28.06614,-89.71729,Gulf of Mexico | BOEM Lease Block MC885,BOEM Lease Block MC885,WGS84,635,635,Push core,Near coral,MC885_20140501_AT26144705047,-0.02,-0.05
MC885_20140501_AT26144705047C,2014-05-01,AT26-14-4705-047C,AT26-14-4705,28.06614,-89.71729,Gulf of Mexico | BOEM Lease Block MC885,BOEM Lease Block MC885,WGS84,635,635,Push core,Near coral,MC885_20140501_AT26144705047,-0.05,-0.1
AT357_20140504_AT26144706058A,2014-05-04,AT26-14-4706-058A,AT26-14-4706,27.58644,-89.70441,Gulf of Mexico | BOEM Lease Block AT357,BOEM Lease Block AT357,WGS84,1050,1050,Push core,Near coral,AT357_20140504_AT26144706058,-0,-0.02
AT357_20140504_AT26144706058B,2014-05-04,AT26-14-4706-058B,AT26-14-4706,27.58644,-89.70441,Gulf of Mexico | BOEM Lease Block AT357,BOEM Lease Block AT357,WGS84,1050,1050,Push core,Near coral,AT357_20140504_AT26144706058,-0.02,-0.05
AT357_20140504_AT26144706058C,2014-05-04,AT26-14-4706-058C,AT26-14-4706,27.58644,-89.70441,Gulf of Mexico | BOEM Lease Block AT357,BOEM Lease Block AT357,WGS84,1050,1050,Push core,Near coral,AT357_20140504_AT26144706058,-0.05,-0.1
AT357_20140504_AT26144706059A,2014-05-04,AT26-14-4706-059A,AT26-14-4706,27.58611,-89.70435,Gulf of Mexico | BOEM Lease Block AT357,BOEM Lease Block AT357,WGS84,1054,1054,Push core,Near coral,AT357_20140504_AT26144706059,-0,-0.02
AT357_20140504_AT26144706059B,2014-05-04,AT26-14-4706-059B,AT26-14-4706,27.58611,-89.70435,Gulf of Mexico | BOEM Lease Block AT357,BOEM Lease Block AT357,WGS84,1054,1054,Push core,Near coral,AT357_20140504_AT26144706059,-0.02,-0.05
AT357_20140504_AT26144706059C,2014-05-04,AT26-14-4706-059C,AT26-14-4706,27.58611,-89.70435,Gulf of Mexico | BOEM Lease Block AT357,BOEM Lease Block AT357,WGS84,1054,1054,Push core,Near coral,AT357_20140504_AT26144706059,-0.05,-0.1
MC885_20101016_LII10GOM4007,2010-10-16,LII-10-GOM-4007,RB-2010-GOM-527,28.0664,-89.717,Gulf of Mexico | BOEM Lease Block MC885,BOEM Lease Block MC885,WGS84,633,633,Push core,Near coral,MC885_20101016_RB10D527PC02,-0,-0.02
MC885_20101016_LII10GOM4008,2010-10-16,LII-10-GOM-4008,RB-2010-GOM-527,28.0664,-89.717,Gulf of Mexico | BOEM Lease Block MC885,BOEM Lease Block MC885,WGS84,633,633,Push core,Near coral,MC885_20101016_RB10D527PC02,-0.02,-0.05
