eventID,occurrenceID,eventDate,verbatimIdentification,occurrenceStatus,basisOfRecord,individualCount,associatedOccurrence,scientficName,taxonRank,kingdom,phylum,class,order,family,genus,scientificNameID
MC885_20140501_AT26144705047A,AT26-14-4705-047A_3,2014-05-01,Desmosomatidae,present,HumanObservation,6,Octocoral,Desmosomatidae,Family,Animalia,Arthropoda,Malacostraca,Isopoda,Desmosomatidae,NA,"urn:lsid:marinespecies.org:taxname:118250, urn:lsid:itis.gov:itis_tsn: 92893"
MC885_20140501_AT26144705047A,AT26-14-4705-047A_4,2014-05-01,Hesionidae,present,HumanObservation,1,Octocoral,Hesionidae,Family,Animalia,Annelida,Polychaeta,Phyllodocida,Hesionidae,NA,"urn:lsid:marinespecies.org:taxname:946, urn:lsid:itis.gov:itis_tsn: 65467"
MC885_20140501_AT26144705047A,AT26-14-4705-047A_5,2014-05-01,Opheliidae,present,HumanObservation,1,Octocoral,Opheliidae,Family,Animalia,Annelida,Polychaeta,NA,Opheliidae,NA,"urn:lsid:marinespecies.org:taxname:924, urn:lsid:itis.gov:itis_tsn: 67342"
MC885_20140501_AT26144705047A,AT26-14-4705-047A_6,2014-05-01,Paraonidae,present,HumanObservation,3,Octocoral,Paraonidae,Family,Animalia,Annelida,Polychaeta,NA,Paraonidae,NA,"urn:lsid:marinespecies.org:taxname:903, urn:lsid:itis.gov:itis_tsn: 66659"
MC885_20140501_AT26144705047A,AT26-14-4705-047A_7,2014-05-01,Phoxocephalidae,present,HumanObservation,2,Octocoral,Phoxocephalidae,Family,Animalia,Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,NA,"urn:lsid:marinespecies.org:taxname:101403, urn:lsid:itis.gov:itis_tsn: 94633"
MC885_20140501_AT26144705047A,AT26-14-4705-047A_8,2014-05-01,Spionidae,present,HumanObservation,2,Octocoral,Spionidae,Family,Animalia,Annelida,Polychaeta,Spionida,Spionidae,NA,"urn:lsid:marinespecies.org:taxname:913, urn:lsid:itis.gov:itis_tsn: 66781"
MC885_20140501_AT26144705047A,AT26-14-4705-047A_9,2014-05-01,Syllidae,present,HumanObservation,2,Octocoral,Syllidae,Family,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,NA,"urn:lsid:marinespecies.org:taxname:948, urn:lsid:itis.gov:itis_tsn: 65587"
MC885_20140501_AT26144705047A,AT26-14-4705-047A_10,2014-05-01,Tanaellidae,present,HumanObservation,1,Octocoral,Tanaellidae,Family,Animalia,Arthropoda,Malacostraca,Tanaidacea,Tanaellidae,NA,"urn:lsid:marinespecies.org:taxname:244585, urn:lsid:itis.gov:itis_tsn: 621527"
MC885_20140501_AT26144705047B,AT26-14-4705-047B_1,2014-05-01,Desmosomatidae,present,HumanObservation,3,Octocoral,Desmosomatidae,Family,Animalia,Arthropoda,Malacostraca,Isopoda,Desmosomatidae,NA,"urn:lsid:marinespecies.org:taxname:118250, urn:lsid:itis.gov:itis_tsn: 92893"
MC885_20140501_AT26144705047B,AT26-14-4705-047B_2,2014-05-01,Maldanidae,present,HumanObservation,1,Octocoral,Maldanidae,Family,Animalia,Annelida,Polychaeta,NA,Maldanidae,NA,"urn:lsid:marinespecies.org:taxname:923, urn:lsid:itis.gov:itis_tsn: 67515"
MC885_20140501_AT26144705047B,AT26-14-4705-047B_3,2014-05-01,Opheliidae,present,HumanObservation,1,Octocoral,Opheliidae,Family,Animalia,Annelida,Polychaeta,NA,Opheliidae,NA,"urn:lsid:marinespecies.org:taxname:924, urn:lsid:itis.gov:itis_tsn: 67342"
MC885_20140501_AT26144705047B,AT26-14-4705-047B_4,2014-05-01,Ophiuroidea,present,HumanObservation,1,Octocoral,Ophiuroidea,Class,Animalia,Echinodermata,Ophiuroidea,NA,NA,NA,"urn:lsid:marinespecies.org:taxname:123084, urn:lsid:itis.gov:itis_tsn: 157325"
MC885_20140501_AT26144705047B,AT26-14-4705-047B_5,2014-05-01,Siboglinidae,present,HumanObservation,1,Octocoral,Siboglinidae,Family,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,NA,"urn:lsid:marinespecies.org:taxname:129096, urn:lsid:itis.gov:itis_tsn: 154462"
MC885_20140501_AT26144705047C,AT26-14-4705-047C_1,2014-05-01,Capitellidae,present,HumanObservation,1,Octocoral,Capitellidae,Family,Animalia,Annelida,Polychaeta,NA,Capitellidae,NA,"urn:lsid:marinespecies.org:taxname:921, urn:lsid:itis.gov:itis_tsn: 67413"
MC885_20140501_AT26144705047C,AT26-14-4705-047C_2,2014-05-01,Gastropoda,present,HumanObservation,1,Octocoral,Gastropoda,Class,Animalia,Mollusca,Gastropoda,NA,NA,NA,"urn:lsid:marinespecies.org:taxname:101, urn:lsid:itis.gov:itis_tsn: 69459"
MC885_20140501_AT26144705047C,AT26-14-4705-047C_3,2014-05-01,Longosomatidae,present,HumanObservation,1,Octocoral,Longosomatidae,Family,Animalia,Annelida,Polychaeta,Terebellida,Longosomatidae,NA,"urn:lsid:marinespecies.org:taxname:22608, urn:lsid:itis.gov:itis_tsn: 555676"
MC885_20140501_AT26144705047C,AT26-14-4705-047C_4,2014-05-01,Phoxocephalidae,present,HumanObservation,1,Octocoral,Phoxocephalidae,Family,Animalia,Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,NA,"urn:lsid:marinespecies.org:taxname:101403, urn:lsid:itis.gov:itis_tsn: 94633"
AT357_20140504_AT26144706058A,AT26-14-4706-058A_1,2014-05-04,Capitellidae,present,HumanObservation,2,Octocoral,Capitellidae,Family,Animalia,Annelida,Polychaeta,NA,Capitellidae,NA,"urn:lsid:marinespecies.org:taxname:921, urn:lsid:itis.gov:itis_tsn: 67413"
AT357_20140504_AT26144706058A,AT26-14-4706-058A_2,2014-05-04,Cirratulidae,present,HumanObservation,1,Octocoral,Cirratulidae,Family,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,NA,"urn:lsid:marinespecies.org:taxname:919, urn:lsid:itis.gov:itis_tsn: 67116"
